Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Main Supervising District,Release type: Paroled to Detainer united,Part of Target Population,Recidivism - Return to Prison numeric
2010,2013,White - Non-Hispanic,25-34,C Felony,Property,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,45-54,D Felony,Violent,6JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,45-54,D Felony,Violent,3JD,Special Sentence,Yes,1
2010,2013,Black - Non-Hispanic,35-44,D Felony,Public Order,6JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,3JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,3JD,Special Sentence,Yes,1
2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,1JD,Special Sentence,Yes,1
2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Drug,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Violent,5JD,Parole,Yes,1
2010,2013,American Indian or Alaska Native - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,6JD,Special Sentence,Yes,1
2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,4JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,C Felony,Drug,3JD,Parole,Yes,1
2010,2013,White -,45-54,D Felony,Violent,4JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,35-44,C Felony,Property,5JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,American Indian or Alaska Native - Non-Hispanic,25-34,D Felony,Violent,3JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,D Felony,Public Order,3JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,45-54,D Felony,Property,4JD,Parole,Yes,1
2010,2013,American Indian or Alaska Native - Non-Hispanic,35-44,C Felony,Property,7JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,D Felony,Drug,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Property,7JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,55 and Older,Aggravated Misdemeanor,Public Order,2JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Violent,4JD,Special Sentence,Yes,1
2010,2013,White - Non-Hispanic,35-44,C Felony,Drug,4JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Violent,1JD,Special Sentence,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,3JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,3JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,35-44,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Hispanic,25-34,C Felony,Violent,7JD,Special Sentence,Yes,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,2JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Property,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,45-54,C Felony,Property,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,55 and Older,D Felony,Public Order,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Hispanic,25-34,B Felony,Drug,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,C Felony,Property,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Property,2JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,55 and Older,Felony - Enhanced,Drug,8JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,5JD,Special Sentence,Yes,1
2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,8JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,45-54,D Felony,Property,5JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,25-34,D Felony,Drug,3JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,45-54,Felony - Enhanced,Drug,6JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,55 and Older,D Felony,Public Order,4JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,45-54,Felony - Enhanced,Property,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,C Felony,Violent,8JD,Special Sentence,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Property,1JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Other,4JD,Special Sentence,Yes,1
2010,2013,White - Non-Hispanic,35-44,D Felony,Drug,2JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,C Felony,Drug,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,D Felony,Public Order,7JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,7JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Violent,3JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,3JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,Serious Misdemeanor,Drug,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,Black - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,2JD,Parole,Yes,1
2010,2013,American Indian or Alaska Native - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,Asian or Pacific Islander - Non-Hispanic,25-34,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,25-34,Felony - Enhanced,Property,8JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Property,4JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Public Order,6JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,6JD,Special Sentence,Yes,1
2010,2013,Black - Non-Hispanic,35-44,D Felony,Drug,6JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Violent,3JD,Special Sentence,Yes,1
2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,7JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,3JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,6JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,3JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,D Felony,Violent,6JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,25-34,C Felony,Property,7JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,B Felony,Drug,5JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,35-44,Felony - Enhanced,Drug,5JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,Under 25,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,55 and Older,D Felony,Public Order,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,D Felony,Public Order,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,3JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,1JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,Under 25,C Felony,Property,6JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,Black - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Violent,1JD,Parole,Yes,1
2010,2013,White - Hispanic,35-44,D Felony,Public Order,6JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,3JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Public Order,3JD,Parole,Yes,1
2010,2013,White - Hispanic,Under 25,Aggravated Misdemeanor,Property,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,7JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,25-34,D Felony,Public Order,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,8JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,1JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,35-44,D Felony,Property,7JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,25-34,D Felony,Public Order,3JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,Black - Non-Hispanic,35-44,C Felony,Property,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,C Felony,Drug,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Public Order,2JD,Parole,Yes,1
2010,2013,White - Hispanic,25-34,D Felony,Property,1JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Violent,4JD,Special Sentence,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Public Order,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,45-54,Felony - Enhanced,Drug,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,D Felony,Drug,8JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,2JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,3JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,45-54,Felony - Enhanced,Drug,2JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,55 and Older,D Felony,Public Order,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Public Order,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Violent,1JD,Parole,Yes,1
2010,2013,American Indian or Alaska Native - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,8JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,D Felony,Drug,2JD,Parole,Yes,1
2010,2013,White - Hispanic,25-34,Serious Misdemeanor,Violent,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Violent,3JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,D Felony,Public Order,2JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,7JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Violent,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,8JD,Parole,Yes,1
2010,2013,White - Hispanic,Under 25,C Felony,Drug,3JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,45-54,Felony - Enhanced,Drug,1JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,25-34,C Felony,Property,6JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,7JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Public Order,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,Black - Non-Hispanic,45-54,D Felony,Public Order,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,35-44,C Felony,Drug,8JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Public Order,7JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,8JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,C Felony,Drug,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,Felony - Enhanced,Violent,2JD,Parole,Yes,1
2010,2013,White - Hispanic,55 and Older,D Felony,Public Order,3JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Property,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Property,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,4JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,B Felony,Drug,5JD,Parole,Yes,1
2010,2013,White - Hispanic,Under 25,D Felony,Property,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Property,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,4JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,45-54,B Felony,Drug,8JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Violent,8JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,35-44,D Felony,Property,7JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,35-44,D Felony,Property,3JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,8JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Property,5JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Public Order,5JD,Parole,Yes,1
2010,2013,White - Hispanic,25-34,D Felony,Property,7JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Property,6JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,3JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,25-34,C Felony,Drug,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,C Felony,Property,3JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,35-44,C Felony,Drug,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,B Felony,Drug,1JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,1JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,55 and Older,Aggravated Misdemeanor,Violent,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,45-54,D Felony,Property,1JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,45-54,D Felony,Drug,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,B Felony,Other,2JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,25-34,D Felony,Public Order,7JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,3JD,Parole,Yes,1
2010,2013,White - Hispanic,35-44,Felony - Enhanced,Property,7JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,B Felony,Drug,2JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,C Felony,Drug,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,55 and Older,B Felony,Drug,2JD,Parole,Yes,1
2010,2013,Asian or Pacific Islander - Non-Hispanic,25-34,D Felony,Property,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,45-54,B Felony,Drug,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,Black - Non-Hispanic,45-54,D Felony,Drug,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Drug,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,Black - Non-Hispanic,Under 25,D Felony,Property,2JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,25-34,C Felony,Property,6JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,35-44,C Felony,Property,7JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,C Felony,Drug,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,Black - Non-Hispanic,55 and Older,Aggravated Misdemeanor,Property,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Public Order,3JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,25-34,B Felony,Drug,2JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Violent,5JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,35-44,D Felony,Public Order,5JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,35-44,C Felony,Drug,6JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,7JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Public Order,1JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,Felony - Enhanced,Property,2JD,Parole,Yes,1
2010,2013,American Indian or Alaska Native - Non-Hispanic,Under 25,D Felony,Property,3JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,25-34,B Felony,Drug,5JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,Under 25,C Felony,Drug,5JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,1JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,Under 25,D Felony,Property,2JD,Special Sentence,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,C Felony,Drug,2JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Property,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,8JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,45-54,Felony - Enhanced,Property,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,Black - Non-Hispanic,35-44,D Felony,Public Order,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,7JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Violent,7JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,7JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,D Felony,Violent,5JD,Special Sentence,Yes,1
2010,2013,Black - Non-Hispanic,45-54,D Felony,Property,6JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,45-54,C Felony,Drug,7JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,7JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,45-54,B Felony,Violent,8JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Violent,7JD,Special Sentence,Yes,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,1JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,5JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Not Mentioned,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Public Order,3JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,8JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,C Felony,Drug,5JD,Parole,Yes,1
2010,2013,White - Hispanic,25-34,D Felony,Drug,6JD,Parole,Yes,1
2010,2013,White - Non-Hispanic,45-54,D Felony,Public Order,6JD,Parole,Yes,1
2010,2013,Black - Non-Hispanic,Under 25,C Felony,Drug,5JD,Parole,Yes,1
